trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.7, 'e': 0.29938039131233124}",20,0,-31.008252745445763,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
121,False,"{'a': 0.7, 'e': 0.2963865873992079}",30,2,-82.80654695919556,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 2}",1
122,False,"{'a': 0.7, 'e': 0.29342272152521587}",25,0,12.916394907078528,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.7, 'e': 0.2904884943099637}",20,2,-4.790466436290838,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.28758360936686406}",35,0,-25.345095151018086,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
125,False,"{'a': 0.7, 'e': 0.2847077732731954}",25,0,-55.61870734271544,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.7, 'e': 0.28186069554046345}",25,12,9.813574038610977,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.2790420885850588}",20,13,-39.34615202997818,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.7, 'e': 0.2762516676992082}",20,0,30.322857084262687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.27348915102221616}",20,4,28.40290510167743,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.270754259511994}",25,7,-18.348631221847576,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.26804671691687404}",20,7,4.131360939697204,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.2653662497477053}",30,12,-20.158001039384672,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502282}",25,3,-33.236465104391655,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.7, 'e': 0.2600854613777259}",30,10,23.46539811998383,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.2574846067639487}",25,14,-0.17967712763708654,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963092}",25,0,-6.149074736329736,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
137,False,"{'a': 0.7, 'e': 0.2523606630893461}",30,0,-52.08765276176916,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
138,False,"{'a': 0.7, 'e': 0.24983705645845267}",20,5,26.609283871051698,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24733868589386815}",20,0,-18.88415648012825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.7, 'e': 0.24486529903492946}",20,0,4.572049833435843,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.24241664604458016}",20,12,15.325682531823526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.23999247958413436}",30,13,23.97350906131221,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",20,16,5.7585233571865615,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.2352166292404101}",20,15,7.941674397867118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",25,7,-48.76344004172589,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",30,13,-25.019642577958336,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",20,0,-37.0192081303969,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",25,16,14.913029620428835,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.22368867397864742}",30,0,-21.085396437458627,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
150,False,"{'a': 0.7, 'e': 0.22145178723886094}",25,9,26.853009094337967,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.21923726936647234}",20,14,-0.6999619826967298,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.2170448966728076}",25,15,-24.50465332075519,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.7, 'e': 0.21487444770607952}",30,8,31.788616193526195,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.21272570322901874}",20,0,-8.855884679321358,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.7, 'e': 0.21059844619672854}",20,0,27.304150132109648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.7, 'e': 0.20849246173476127}",20,15,8.837884676612017,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.20640753711741366}",20,0,32.11228789715116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.7, 'e': 0.20434346174623952}",20,9,20.029117894853016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.20230002712877712}",25,11,-12.52263350679304,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.20027702685748935}",30,9,18.12632494468745,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.19827425658891445}",35,15,32.45372556234588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.1962915140230253}",25,15,19.140930354792822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279505}",20,8,10.366226222674122,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.1923853128939671}",25,2,24.42836414337293,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.19046145976502743}",20,8,15.915345651181518,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.18855684516737714}",20,0,-32.121302048364434,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",20,6,12.404912058912366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.18480456394854633}",25,0,-65.84185663607833,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
169,False,"{'a': 0.7, 'e': 0.18295651830906087}",20,6,21.393116443351246,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597027}",20,0,-22.824660645601444,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
171,False,"{'a': 0.7, 'e': 0.17931568359471056}",20,9,20.458635475712626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876345}",25,0,37.960330590933644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.7, 'e': 0.17574730149117582}",25,0,-8.67133056029885,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
174,False,"{'a': 0.7, 'e': 0.17398982847626407}",25,3,24.99906039727856,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.17224993019150142}",20,4,-25.902451035852277,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.7, 'e': 0.1705274308895864}",25,4,35.09461154489154,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.16882215658069055}",20,9,21.823195339334184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.16713393501488363}",25,5,-18.738119937957425,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473479}",20,0,24.55823778562447,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.7, 'e': 0.16380796970808745}",25,1,-32.5951584312903,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100657}",20,6,17.475950835921847,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.1605481911108965}",25,5,30.329466133900052,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.15894270919978754}",30,14,16.496372887930082,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.15735328210778965}",30,9,-37.68507351918774,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 0.7, 'e': 0.15577974928671176}",20,3,16.625308068859567,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.15422195179384465}",25,0,-11.35488664382273,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
187,False,"{'a': 0.7, 'e': 0.1526797322759062}",25,18,4.949429442114676,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.15115293495314713}",20,8,9.271642024824377,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.14964140560361566}",20,2,28.74147649270008,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.1481449915475795}",25,9,-14.87847699628927,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.7, 'e': 0.1466635416321037}",30,9,27.675698232965992,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.14519690621578268}",25,11,10.72774136202769,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.7, 'e': 0.14374493715362485}",25,2,7.558916314097791,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.1423074877820886}",20,6,-4.266912627654855,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
195,False,"{'a': 0.7, 'e': 0.1408844129042677}",25,16,0.18938775157557686,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.7, 'e': 0.13947556877522502}",30,16,-0.35343194100266295,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.7, 'e': 0.13808081308747278}",25,13,7.501635969462328,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.7, 'e': 0.13670000495659804}",30,0,11.40259127803913,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
199,False,"{'a': 0.7, 'e': 0.13533300490703207}",35,15,27.178625932621763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.7, 'e': 0.13397967485796175}",30,20,16.981855529252773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.13263987810938213}",20,4,14.067464514430554,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.7, 'e': 0.1313134793282883}",20,10,-62.61155101163132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
203,False,"{'a': 0.7, 'e': 0.13000034453500542}",25,13,21.997447003419897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.7, 'e': 0.12870034108965536}",20,16,8.753744622472965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.7, 'e': 0.12741333767875881}",35,9,16.131679886249948,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
206,False,"{'a': 0.7, 'e': 0.12613920430197123}",30,17,24.584184689396185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.7, 'e': 0.12487781225895152}",20,15,0.047373479532466956,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.7, 'e': 0.123629034136362}",20,9,24.775004075196744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.7, 'e': 0.12239274379499838}",20,0,20.469182225234167,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.7, 'e': 0.1211688163570484}",25,17,-9.248148436353354,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.7, 'e': 0.11995712819347792}",20,6,22.28858304933795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.7, 'e': 0.11875755691154315}",25,12,-23.531948550009883,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
213,False,"{'a': 0.7, 'e': 0.11756998134242772}",20,10,-3.4645331124741503,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.7, 'e': 0.11639428152900344}",20,0,35.085229787671,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.7, 'e': 0.11523033871371341}",25,6,18.760225442746226,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.7, 'e': 0.11407803532657627}",20,8,-0.5601022866251881,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.7, 'e': 0.11293725497331052}",20,7,12.25625357800757,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.7, 'e': 0.1118078824235774}",25,0,-9.699473866145862,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
219,False,"{'a': 0.7, 'e': 0.11068980359934164}",20,9,7.917021336581152,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.7, 'e': 0.10958290556334822}",20,0,18.63379677885438,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
221,False,"{'a': 0.7, 'e': 0.10848707650771475}",25,6,25.52474785797345,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.7, 'e': 0.1074022057426376}",20,3,-16.207447278728548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
223,False,"{'a': 0.7, 'e': 0.10632818368521123}",25,11,18.402570121561336,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.7, 'e': 0.10526490184835911}",20,0,-7.881425544731412,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
225,False,"{'a': 0.7, 'e': 0.10421225282987552}",25,17,8.593706146946396,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7, 'e': 0.10317013030157676}",25,0,-4.0518098852568265,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
227,False,"{'a': 0.7, 'e': 0.10213842899856099}",20,15,6.26790889664734,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.7, 'e': 0.10111704470857538}",20,0,-13.625585936739721,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
229,False,"{'a': 0.7, 'e': 0.10010587426148963}",20,5,10.095676379131286,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.7, 'e': 0.09910481551887473}",20,7,24.394111119489978,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.7, 'e': 0.09811376736368599}",20,9,-4.175029115305863,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
232,False,"{'a': 0.7, 'e': 0.09713262969004913}",30,10,21.573955059955846,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.7, 'e': 0.09616130339314863}",25,3,15.128068956093617,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.7, 'e': 0.09519969035921715}",30,22,4.4217484133699845,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.7, 'e': 0.09424769345562498}",20,0,-17.349122199595236,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
236,False,"{'a': 0.7, 'e': 0.09330521652106873}",25,17,10.707486472148549,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.7, 'e': 0.09237216435585804}",20,16,7.93433436733079,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.7, 'e': 0.09144844271229946}",25,8,28.28148107195917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.7, 'e': 0.09053395828517646}",30,17,13.722216963028707,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.7, 'e': 0.08962861870232469}",20,0,20.91879484029066,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.7, 'e': 0.08873233251530144}",20,1,8.549270978630666,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,False,"{'a': 0.7, 'e': 0.08784500919014843}",35,15,35.00052236975129,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.7, 'e': 0.08696655909824694}",25,13,10.347626738551174,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.7, 'e': 0.08609689350726446}",20,0,3.4933189035720797,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
245,False,"{'a': 0.7, 'e': 0.08523592457219181}",20,5,21.38189929128372,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
